"","study","mean","lci","uci","nobs"
"1","ADHI",0.77047765829742,0.393708157068626,1.14724715952621,56
"2","BAKK",0.754739578853393,0.371122172601576,1.13835698510521,56
"3","BOUT",0.766140363804511,0.382808976901091,1.14947175070793,55
"4","BRIT",0.761897970562527,0.378532087688066,1.14526385343699,55
"5","EKRO",0.776840616650679,0.396879968454093,1.15680126484726,55
"6","FEBE07",0.769319546494052,0.38167244150634,1.15696665148176,51
"7","FEBE97",0.738720375429726,0.354428086146592,1.12301266471286,53
"8","GABR",0.761963119842797,0.376381728439827,1.14754451124577,53
"9","GEPP",0.76045931573867,0.373745149799534,1.14717348167781,54
"10","GODE",0.770460746533594,0.391573852613075,1.14934764045411,56
"11","HAPP",0.774747598204382,0.391065163175805,1.15843003323296,53
"12","HOLZ07",0.70291494062272,0.346807647041245,1.0590222342042,56
"13","HUBE",0.787599048068378,0.451947631607211,1.12325046452955,56
"14","JONA11",0.74722020252946,0.363551399085655,1.13088900597327,56
"15","JONA13",0.769830720972706,0.394881874531753,1.14477956741366,56
"16","KEHI18",0.773847999029493,0.395682901972135,1.15201309608685,55
"17","KRAU",0.725121186087454,0.348518910803547,1.10172346137136,55
"18","KREM",0.762973734922121,0.386653022437967,1.13929444740628,56
"19","LORA",0.770661694542202,0.401341327149696,1.13998206193471,56
"20","MARJ14",0.715631805390699,0.343713441288451,1.08755016949295,55
"21","MORA",0.724452954980499,0.356589200324944,1.09231670963605,56
"22","OSTA ",0.785336630442296,0.425056644454397,1.14561661643019,56
"23","POWE11",0.712274740624012,0.336471396469766,1.08807808477826,53
"24","POWE16",0.670216332817136,0.343463081744374,0.996969583889897,56
"25","ROSA",0.76137448934711,0.382871228453992,1.13987775024023,56
"26","RUND06",0.683450300310244,0.340662154887823,1.02623844573267,55
"27","RUND08",0.728109830499551,0.351143324328475,1.10507633667063,55
"28","SIDE",0.752511378938465,0.368957825824572,1.13606493205236,56
"29","TUCK",0.630233415531021,0.350692425731221,0.909774405330821,56
"30","UZMA",0.777074957090216,0.403772203735724,1.15037771044471,56
