"","study","mean","lci","uci","nobs"
"1","ADHI",0.695208508929841,0.446935512375593,0.943481505484089,75
"2","BOUT",0.685950186710616,0.435093794482191,0.936806578939041,74
"3","BRIT",0.690450279335918,0.440526868249953,0.940373690421883,74
"4","CLOU",0.68059839532755,0.428382086717456,0.932814703937644,74
"5","EKRO",0.700214044566311,0.450194188758026,0.950233900374597,74
"6","FEBE",0.685615201171943,0.432473737321453,0.938756665022432,70
"7","FORR",0.679268045084332,0.432298196372289,0.926237893796376,75
"8","GABR",0.700751193302423,0.449911104824519,0.951591281780327,72
"9","GAYE",0.688309606119361,0.435337556141814,0.941281656096907,72
"10","GEPP",0.679061517773841,0.427506739749045,0.930616295798637,73
"11","GODE",0.701733173259554,0.454162463953363,0.949303882565744,75
"12","HAPP",0.696734907242666,0.445692819244655,0.947776995240678,72
"13","HAUS",0.695832101804281,0.451731076839638,0.939933126768923,75
"14","HOLZ07",0.648329834758993,0.410685688530466,0.885973980987519,73
"15","HOLZ10",0.697447498937592,0.445690230934308,0.949204766940875,72
"16","HUBE",0.703359603217106,0.456019426680506,0.950699779753705,74
"17","JONA11",0.678912573703257,0.427678363473388,0.930146783933125,75
"18","JONA13",0.70470420802013,0.460747662707035,0.948660753333225,75
"19","KEHI12",0.702875545694606,0.458115539282268,0.947635552106945,75
"20","KRAU",0.613096661932253,0.413810067700257,0.81238325616425,74
"21","KREM",0.690757016364077,0.443647119099534,0.937866913628619,75
"22","LORA",0.693357554735647,0.447690284589576,0.939024824881719,75
"23","MARJ14",0.671483554574428,0.421913672980013,0.921053436168844,74
"24","MARJ21",0.67979423857584,0.427094263806575,0.932494213345105,70
"25","MART",0.701357169030546,0.454878136608121,0.947836201452972,75
"26","PADM",0.651057071642343,0.412484501172345,0.889629642112342,75
"27","POWE11",0.697056871421365,0.446122191937217,0.947991550905513,72
"28","POWE16",0.698626011651668,0.451237286241605,0.94601473706173,75
"29","PUIG",0.704853831751542,0.457757959846794,0.951949703656289,74
"30","RUND06",0.651641346280899,0.413966523186151,0.889316169375646,74
"31","RUND08",0.652940227385226,0.414011066969025,0.891869387801426,74
"32","SIDE",0.66676191397776,0.419185425712964,0.914338402242556,75
"33","TUCK",0.643382399408496,0.411625679069711,0.87513911974728,75
"34","UZMA",0.701777517073835,0.454299585058915,0.949255449088756,75
"35","VILL",0.6792100088996,0.432023038965095,0.926396978834104,75
"36","WEIB",0.705709737560702,0.461276339148345,0.950143135973058,74
