"","study","mean.x","lci.x","uci.x","nobs.x","mean.y","lci.y","uci.y","nobs.y"
"1","ADHI",0.77047765829742,0.393708157068626,1.14724715952621,56,0.695208508929841,0.446935512375593,0.943481505484089,75
"2","BAKK",0.754739578853393,0.371122172601576,1.13835698510521,56,NA,NA,NA,NA
"3","BOUT",0.766140363804511,0.382808976901091,1.14947175070793,55,0.685950186710616,0.435093794482191,0.936806578939041,74
"4","BRIT",0.761897970562527,0.378532087688066,1.14526385343699,55,0.690450279335918,0.440526868249953,0.940373690421883,74
"5","CLOU",NA,NA,NA,NA,0.68059839532755,0.428382086717456,0.932814703937644,74
"6","EKRO",0.776840616650679,0.396879968454093,1.15680126484726,55,0.700214044566311,0.450194188758026,0.950233900374597,74
"7","FEBE",NA,NA,NA,NA,0.685615201171943,0.432473737321453,0.938756665022432,70
"8","FEBE07",0.769319546494052,0.38167244150634,1.15696665148176,51,NA,NA,NA,NA
"9","FEBE97",0.738720375429726,0.354428086146592,1.12301266471286,53,NA,NA,NA,NA
"10","FORR",NA,NA,NA,NA,0.679268045084332,0.432298196372289,0.926237893796376,75
"11","GABR",0.761963119842797,0.376381728439827,1.14754451124577,53,0.700751193302423,0.449911104824519,0.951591281780327,72
"12","GAYE",NA,NA,NA,NA,0.688309606119361,0.435337556141814,0.941281656096907,72
"13","GEPP",0.76045931573867,0.373745149799534,1.14717348167781,54,0.679061517773841,0.427506739749045,0.930616295798637,73
"14","GODE",0.770460746533594,0.391573852613075,1.14934764045411,56,0.701733173259554,0.454162463953363,0.949303882565744,75
"15","HAPP",0.774747598204382,0.391065163175805,1.15843003323296,53,0.696734907242666,0.445692819244655,0.947776995240678,72
"16","HAUS",NA,NA,NA,NA,0.695832101804281,0.451731076839638,0.939933126768923,75
"17","HOLZ07",0.70291494062272,0.346807647041245,1.0590222342042,56,0.648329834758993,0.410685688530466,0.885973980987519,73
"18","HOLZ10",NA,NA,NA,NA,0.697447498937592,0.445690230934308,0.949204766940875,72
"19","HUBE",0.787599048068378,0.451947631607211,1.12325046452955,56,0.703359603217106,0.456019426680506,0.950699779753705,74
"20","JONA11",0.74722020252946,0.363551399085655,1.13088900597327,56,0.678912573703257,0.427678363473388,0.930146783933125,75
"21","JONA13",0.769830720972706,0.394881874531753,1.14477956741366,56,0.70470420802013,0.460747662707035,0.948660753333225,75
"22","KEHI12",NA,NA,NA,NA,0.702875545694606,0.458115539282268,0.947635552106945,75
"23","KEHI18",0.773847999029493,0.395682901972135,1.15201309608685,55,NA,NA,NA,NA
"24","KRAU",0.725121186087454,0.348518910803547,1.10172346137136,55,0.613096661932253,0.413810067700257,0.81238325616425,74
"25","KREM",0.762973734922121,0.386653022437967,1.13929444740628,56,0.690757016364077,0.443647119099534,0.937866913628619,75
"26","LORA",0.770661694542202,0.401341327149696,1.13998206193471,56,0.693357554735647,0.447690284589576,0.939024824881719,75
"27","MARJ14",0.715631805390699,0.343713441288451,1.08755016949295,55,0.671483554574428,0.421913672980013,0.921053436168844,74
"28","MARJ21",NA,NA,NA,NA,0.67979423857584,0.427094263806575,0.932494213345105,70
"29","MART",NA,NA,NA,NA,0.701357169030546,0.454878136608121,0.947836201452972,75
"30","MORA",0.724452954980499,0.356589200324944,1.09231670963605,56,NA,NA,NA,NA
"31","OSTA ",0.785336630442296,0.425056644454397,1.14561661643019,56,NA,NA,NA,NA
"32","PADM",NA,NA,NA,NA,0.651057071642343,0.412484501172345,0.889629642112342,75
"33","POWE11",0.712274740624012,0.336471396469766,1.08807808477826,53,0.697056871421365,0.446122191937217,0.947991550905513,72
"34","POWE16",0.670216332817136,0.343463081744374,0.996969583889897,56,0.698626011651668,0.451237286241605,0.94601473706173,75
"35","PUIG",NA,NA,NA,NA,0.704853831751542,0.457757959846794,0.951949703656289,74
"36","ROSA",0.76137448934711,0.382871228453992,1.13987775024023,56,NA,NA,NA,NA
"37","RUND06",0.683450300310244,0.340662154887823,1.02623844573267,55,0.651641346280899,0.413966523186151,0.889316169375646,74
"38","RUND08",0.728109830499551,0.351143324328475,1.10507633667063,55,0.652940227385226,0.414011066969025,0.891869387801426,74
"39","SIDE",0.752511378938465,0.368957825824572,1.13606493205236,56,0.66676191397776,0.419185425712964,0.914338402242556,75
"40","TUCK",0.630233415531021,0.350692425731221,0.909774405330821,56,0.643382399408496,0.411625679069711,0.87513911974728,75
"41","UZMA",0.777074957090216,0.403772203735724,1.15037771044471,56,0.701777517073835,0.454299585058915,0.949255449088756,75
"42","VILL",NA,NA,NA,NA,0.6792100088996,0.432023038965095,0.926396978834104,75
"43","WEIB",NA,NA,NA,NA,0.705709737560702,0.461276339148345,0.950143135973058,74
