"","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","WWF.Biome","Sampling.Method","Scale","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec"
"1","ADHI","Bees","Center","Cereal","Simple",40.23,-110,"DXS","Pan Traps","Field",158,165,93,99,9,9,0.069410561,7.6,195
"2","BOUT","Moths","Center","Mixed","Simple",44.2,-78.4,"TBMF","Light Traps","Farm",74.325,81.7875,32.08233827,34.51668075,8,8,0.211737233,6.2,804
"3","BOUT","Moths","Margin","Mixed","Simple",44.2,-78.4,"TBMF","Light Traps","Farm",178.125,238.5625,96.00051711,112.5884533,8,8,0.546156182,6.2,804
"4","BRIT","Bees","Center","Perrenial","Simple",45.65,12.42,"TBMF","Combination","Field",12.8,20.1,6.613622306,9.797958971,6,6,0.806149116,13.1,943
"5","BRIT","Pollinating Insects","Center","Perrenial","Simple",45.65,12.42,"TBMF","Combination","Field",3.6,4,2.204540769,2.939387691,6,6,0.142116989,13.1,943
"6","EKRO","Bumblebees","Edge","Cereal","Simple",60.67,25.63,"BF/T","Transects","Field",3,3.8,2.5,1.7,40,15,0.368903492,4.3,642
"7","EKRO","Butterflies","Edge","Cereal","Simple",60.67,25.63,"BF/T","Transects","Field",9.4,9,4.4,3.5,40,15,-0.099184457,4.3,642
"8","FEBE","Butterflies","Center","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",5.63,12.55,5.091267033,9.360341874,10,10,0.879635907,9.8,633
"9","FEBE","Butterflies","Margin","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",16.2,21.33,13.34481173,12.45937398,10,10,0.380585502,9.8,633
"10","FEBE","Butterflies","Center","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",4.32,9.29,4.395565948,9.803060747,10,10,0.626584337,9.8,633
"11","FEBE","Butterflies","Margin","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",13.45,21.36,12.64911064,12.61748786,10,10,0.599666688,9.8,633
"12","FEBE","Butterflies","Center","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",3.56,7.57,5.407494799,9.644946864,10,10,0.491198557,9.8,633
"13","FEBE","Butterflies","Margin","Mixed","N/A",51.76,-1.25,"TBMF","Transects","Farm",13.22,16.78,12.68073342,13.15507507,10,10,0.263897525,9.8,633
"14","GABR","Bumblebees","Margin","Cereal","Complex",52.36,-1.22,"TBMF","Combination","Field",0.7,0.9,0.293938769,0.332264955,96,69,0.634638572,9.3,639
"15","GABR","Butterflies","Margin","Cereal","Complex",52.36,-1.22,"TBMF","Combination","Field",1.9,2.7,1.959591794,2.575053398,96,69,0.348022239,9.3,639
"16","GABR","Hoverflies","Margin","Cereal","Complex",52.36,-1.22,"TBMF","Combination","Field",1.6,1.2,0.685857128,0.498397432,96,69,-0.664148158,9.3,639
"17","GABR","Solitary Bees","Margin","Cereal","Complex",52.36,-1.22,"TBMF","Combination","Field",0.8,0.8,0.391918359,0.332264955,96,69,0,9.3,639
"18","GEPP","Bumblebees","Edge","Cereal","Simple",51.53,9.94,"TBMF","Combination","Field",2.49,5.1,6.33,4.11,9,9,0.465776318,8.3,695
"19","GEPP","Hoverflies","Edge","Cereal","Simple",51.53,9.94,"TBMF","Combination","Field",5.6,8.96,5.61,5.61,9,9,0.570409982,8.3,695
"20","GEPP","Solitary Bees","Edge","Cereal","Simple",51.53,9.94,"TBMF","Combination","Field",1,6.35,2.22,9,9,9,0.777340183,8.3,695
"21","GODE","Butterflies","Center","Cereal","Complex",42.75,-7.93,"TBMF","Transects","Farm",13.6,24.9,55.38366185,89.85321363,15,15,0.147310297,11.9,1247
"22","HAPP","Bumblebees","Edge","Cereal","Complex",52.64,9.85,"TBMF","Pan Traps","Field",15.43,17.11,9.3,6.6,9,9,0.198417422,8.8,658
"23","HAPP","Bumblebees","Edge","Cereal","Simple",51.01,10.85,"TBMF","Pan Traps","Field",5.91,6.18,7.2,4.98,9,9,0.041539435,8.5,510
"24","HAPP","Solitary Bees","Edge","Cereal","Complex",52.64,9.85,"TBMF","Pan Traps","Field",31.94,42.26,12.57,23.22,9,9,0.526423203,8.8,658
"25","HAPP","Solitary Bees","Edge","Cereal","Simple",51.01,10.85,"TBMF","Pan Traps","Field",38.57,55.32,43.11,40.05,9,9,0.383395677,8.5,510
