"","X","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","Sampling.Method","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec","lat.long"
"1",1,"ADHI","Bees","Center","Cereal","Simple",40.23,-110,"Pan Traps",158,165,93,99,9,9,0.069410561,7.6,195,"40.23 -110"
"2",2,"BAKK","Pollinators","Margin","Varied","Gradient",52.13,5.29,"Transects",2.94,4.38,1.654629868,2.504396135,18,20,0.664219946,9.3,802,"52.13 5.29"
"3",3,"BOUT","Moths","Center","Mixed","Simple",44.2,-78.4,"Light Traps",74.325,81.7875,32.08233827,34.51668075,8,8,0.211737233,6.2,804,"44.2 -78.4"
"4",4,"BOUT","Moths","Margin","Mixed","Simple",44.2,-78.4,"Light Traps",178.125,238.5625,96.00051711,112.5884533,8,8,0.546156182,6.2,804,"44.2 -78.4"
"5",5,"BRIT","Bees","Center","Perennial","Simple",45.65,12.42,"Combination",12.8,20.1,6.613622306,9.797958971,6,6,0.806149116,13.1,943,"45.65 12.42"
"6",6,"BRIT","Pollinators","Center","Perennial","Simple",45.65,12.42,"Combination",3.6,4,2.204540769,2.939387691,6,6,0.142116989,13.1,943,"45.65 12.42"
"7",7,"EKRO","Bumblebees","Edge","Cereal","Simple",60.67,25.63,"Transects",3,3.8,2.5,1.7,40,15,0.368903492,4.3,642,"60.67 25.63"
"8",8,"EKRO","Butterflies","Edge","Cereal","Simple",60.67,25.63,"Transects",9.4,9,4.4,3.5,40,15,-0.099184457,4.3,642,"60.67 25.63"
"9",9,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",5.63,12.55,5.091267033,9.360341874,10,10,0.879635907,9.8,633,"51.76 -1.25"
"10",10,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",16.2,21.33,13.34481173,12.45937398,10,10,0.380585502,9.8,633,"51.76 -1.25"
"11",11,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",4.32,9.29,4.395565948,9.803060747,10,10,0.626584337,9.8,633,"51.76 -1.25"
"12",12,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",13.45,21.36,12.64911064,12.61748786,10,10,0.599666688,9.8,633,"51.76 -1.25"
"13",13,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",3.56,7.57,5.407494799,9.644946864,10,10,0.491198557,9.8,633,"51.76 -1.25"
"14",14,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",13.22,16.78,12.68073342,13.15507507,10,10,0.263897525,9.8,633,"51.76 -1.25"
"15",15,"FEBE97","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",9.81,16.07,8.428712832,12.44507935,8,8,0.556864548,9.8,633,"51.76 -1.25"
"16",16,"FEBE97","Butterflies","Edge","Mixed",NA,51.76,-1.25,"Transects",1.63,6.78,2.03646753,4.780041841,8,8,1.325296867,9.8,633,"51.76 -1.25"
"17",17,"FEBE97","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",9.67,16.87,4.723473298,9.248956698,8,8,0.926977547,9.8,633,"51.76 -1.25"
"18",18,"FEBE97","Butterflies","Edge","Mixed",NA,51.76,-1.25,"Transects",2.52,7.98,1.951614716,4.29920923,8,8,1.546228869,9.8,633,"51.76 -1.25"
"19",19,"GABR","Bumblebees","Margin","Cereal","Complex",52.36,-1.22,"Combination",0.7,0.9,0.293938769,0.332264955,96,69,0.634638572,9.3,639,"52.36 -1.22"
"20",20,"GABR","Butterflies","Margin","Cereal","Complex",52.36,-1.22,"Combination",1.9,2.7,1.959591794,2.575053398,96,69,0.348022239,9.3,639,"52.36 -1.22"
"21",21,"GABR","Hoverflies","Margin","Cereal","Complex",52.36,-1.22,"Combination",1.6,1.2,0.685857128,0.498397432,96,69,-0.664148158,9.3,639,"52.36 -1.22"
"22",22,"GABR","Solitary Bees","Margin","Cereal","Complex",52.36,-1.22,"Combination",0.8,0.8,0.391918359,0.332264955,96,69,0,9.3,639,"52.36 -1.22"
"23",23,"GEPP","Bumblebees","Edge","Cereal","Simple",51.53,9.94,"Combination",2.49,5.1,6.33,4.11,9,9,0.465776318,8.3,695,"51.53 9.94"
"24",24,"GEPP","Hoverflies","Edge","Cereal","Simple",51.53,9.94,"Combination",5.6,8.96,5.61,5.61,9,9,0.570409982,8.3,695,"51.53 9.94"
"25",25,"GEPP","Solitary Bees","Edge","Cereal","Simple",51.53,9.94,"Combination",1,6.35,2.22,9,9,9,0.777340183,8.3,695,"51.53 9.94"
"26",26,"GODE","Butterflies","Center","Cereal","Complex",42.75,-7.93,"Transects",13.6,24.9,55.38366185,89.85321363,15,15,0.147310297,11.9,1247,"42.75 -7.93"
"27",27,"HAPP","Bumblebees","Edge","Cereal","Complex",52.64,9.85,"Pan Traps",15.43,17.11,9.3,6.6,9,9,0.198417422,8.8,658,"52.64 9.85"
"28",28,"HAPP","Bumblebees","Edge","Cereal","Simple",51.01,10.85,"Pan Traps",5.91,6.18,7.2,4.98,9,9,0.041539435,8.5,510,"51.01 10.85"
"29",29,"HAPP","Solitary Bees","Edge","Cereal","Complex",52.64,9.85,"Pan Traps",31.94,42.26,12.57,23.22,9,9,0.526423203,8.8,658,"52.64 9.85"
"30",30,"HAPP","Solitary Bees","Edge","Cereal","Simple",51.01,10.85,"Pan Traps",38.57,55.32,43.11,40.05,9,9,0.383395677,8.5,510,"51.01 10.85"
"31",31,"HOLZ07","Bees","Across System","Cereal","Gradient",51.53,9.93,"Transects",8.6,63.1,10.58300524,31.4844406,7,7,2.172328071,8.3,695,"51.53 9.93"
"32",32,"HUBE","Wild Bees","Edge","Cereal",NA,48.65,9.38,"Transects",6.6,4.571428571,1.770057036,1.00738996,10,7,-1.336981109,8.5,768,"48.65 9.38"
"33",33,"JONA11","Butterflies","Margin","Cereal","Gradient",59.86,17.64,"Transects",42.4,68,12.07476708,34.78505426,20,40,0.970465309,5.6,558,"59.86 17.64"
"34",34,"JONA13","Moths","Margin","Mixed","Gradient",59.97,16.78,"Pan Traps",48.55,48.55,13.02064683,10.69879619,6,6,0,5.4,590,"59.97 16.78"
"35",35,"KEHI18","Bees","Center","Perennial","Complex",-33.92,19.86,"Pan Traps",93.8,81.72,133.7176451,134.9423899,6,6,-0.083009394,17.1,391,"-33.92 19.86"
"36",36,"KEHI18","Bees","Center","Perennial","Simple",45.65,12.43,"Pan Traps",24.48,37.88,37.77113183,54.3051876,6,6,0.264443767,13.1,943,"45.65 12.43"
"37",37,"KRAU","All Pollinators (Syriphidae + Lepidoptera)","Center","Cereal","Complex",49.93,11.57,"Transects",0.1,38.3,0.387298335,37.95523679,15,15,1.384792884,8,674,"49.93 11.57"
