"","X.1","X","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","Sampling.Method","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec","lat.long","StudyNum","Obs.ID","hedges","variance"
"1",1,1,"ADHI","Bees","Center","Cereal","Simple",40.23,-110,"Pan Traps",158,165,93,99,9,9,0.069410561,7.6,195,"40.23 -110",1,1,0.0694012963719819,0.222356014998281
"2",2,2,"BAKK","Pollinators","Margin","Varied","Gradient",52.13,5.29,"Transects",2.94,4.38,1.654629868,2.504396135,18,20,0.664219946,9.3,802,"52.13 5.29",2,2,0.657082177301168,0.111236568551961
"3",3,3,"BOUT","Moths","Center","Mixed","Simple",44.2,-78.4,"Light Traps",74.325,81.7875,32.08233827,34.51668075,8,8,0.211737233,6.2,804,"44.2 -78.4",3,3,0.211699873604074,0.251400526140124
"4",4,4,"BOUT","Moths","Margin","Mixed","Simple",44.2,-78.4,"Light Traps",178.125,238.5625,96.00051711,112.5884533,8,8,0.546156182,6.2,804,"44.2 -78.4",3,4,0.546059817865595,0.259318166396481
"5",5,5,"BRIT","Bees","Center","Perennial","Simple",45.65,12.42,"Combination",12.8,20.1,6.613622306,9.797958971,6,6,0.806149116,13.1,943,"45.65 12.42",4,5,0.805859769507995,0.360392082004645
"6",6,6,"BRIT","Pollinators","Center","Perennial","Simple",45.65,12.42,"Combination",3.6,4,2.204540769,2.939387691,6,6,0.142116989,13.1,943,"45.65 12.42",4,6,0.142065980053156,0.334174280945353
"7",7,7,"EKRO","Bumblebees","Edge","Cereal","Simple",60.67,25.63,"Transects",3,3.8,2.5,1.7,40,15,0.368903492,4.3,642,"60.67 25.63",5,7,0.340552565167871,0.0927209943906886
"8",8,8,"EKRO","Butterflies","Edge","Cereal","Simple",60.67,25.63,"Transects",9.4,9,4.4,3.5,40,15,-0.099184457,4.3,642,"60.67 25.63",5,8,-0.0943065268834536,0.0917475186758741
"9",9,9,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",5.63,12.55,5.091267033,9.360341874,10,10,0.879635907,9.8,633,"51.76 -1.25",6,9,0.879544014798363,0.219339941849191
"10",10,10,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",16.2,21.33,13.34481173,12.45937398,10,10,0.380585502,9.8,633,"51.76 -1.25",6,10,0.380545743810487,0.203620376578307
"11",11,11,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",4.32,9.29,4.395565948,9.803060747,10,10,0.626584337,9.8,633,"51.76 -1.25",6,11,0.626518879942564,0.209813147673112
"12",12,12,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",13.45,21.36,12.64911064,12.61748786,10,10,0.599666688,9.8,633,"51.76 -1.25",6,12,0.599604042861962,0.20898812520541
"13",13,13,"FEBE07","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",3.56,7.57,5.407494799,9.644946864,10,10,0.491198557,9.8,633,"51.76 -1.25",6,13,0.491147243489365,0.20603064036968
"14",14,14,"FEBE07","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",13.22,16.78,12.68073342,13.15507507,10,10,0.263897525,9.8,633,"51.76 -1.25",6,14,0.263869956260239,0.20174068384542
"15",15,15,"FEBE97","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",9.81,16.07,8.428712832,12.44507935,8,8,0.556864548,9.8,633,"51.76 -1.25",7,15,0.556766294382137,0.259687147080001
"16",16,16,"FEBE97","Butterflies","Edge","Mixed",NA,51.76,-1.25,"Transects",1.63,6.78,2.03646753,4.780041841,8,8,1.325296867,9.8,633,"51.76 -1.25",7,16,1.32506303129429,0.304868501153213
