"","X.1","X","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","Sampling.Method","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec","lat.long","StudyNum","Obs.ID","hedges","variance"
"1",1,1,"ADHI","Bees","Center","Cereal","Simple",40.23,-110,"Pan Traps",25,27,6,9,9,9,0.249036362,7.6,195,"40.23 -110",1,1,0.249003122336459,0.223944515414814
"2",2,2,"BOUT","Moths","Center","Mixed","Simple",44.2,-78.4,"Other",10.875,12.3375,1.255559067,3.258806749,8,8,0.560512828,6.2,804,"44.2 -78.4",2,2,0.559837175475307,0.25979430197013
"3",3,3,"BOUT","Moths","Margin","Mixed","Simple",44.2,-78.4,"Other",17.0125,19.4875,1.923120604,4.256234922,8,8,0.749416512,6.2,804,"44.2 -78.4",2,3,0.708414232981434,0.265682835171584
"4",4,4,"BRIT","Bees","Center","Perennial","Simple",45.65,12.42,"Combination",5.3,5.9,1.71464282,1.469693846,6,6,0.375734575,13.1,943,"45.65 12.42",3,4,0.346707428513972,0.338341918374449
"5",5,5,"BRIT","Pollinating Insects","Center","Perennial","Simple",45.65,12.42,"Combination",0.9,1.3,0.489897949,0.734846923,6,6,0.640512615,13.1,943,"45.65 12.42",3,5,0.591030202340691,0.34788819583662
"6",6,6,"CLOU","Bees","Center","Cereal","Gradient",51.58,8.17,"Transects",0.67,4.23,2.70371966,4.399272667,21,21,0.975000388,8.9,852,"51.58 8.17",4,6,0.956584770533786,0.106131600276395
"7",7,7,"CLOU","Bees","Edge","Cereal","Gradient",51.58,8.17,"Transects",2.08,5.27,3.391106014,6.094825674,21,21,0.6468147,8.9,852,"51.58 8.17",4,7,0.634597789455536,0.100032313742641
"8",8,8,"EKRO","Bumblebees","Edge","Cereal","Simple",60.67,25.63,"Transects",1.14,1.4,0.5,0.4,40,15,0.574243936,4.3,642,"60.67 25.63",5,8,0.538862054552454,0.0943064149742711
"9",9,9,"EKRO","Butterflies","Edge","Cereal","Simple",60.67,25.63,"Transects",0.99,0.98,0.26,0.2,40,15,-0.043113061,4.3,642,"60.67 25.63",5,9,-0.0401405468931849,0.0916813145167111
"10",10,10,"FEBE","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",7.6,10.32,3.130654884,3.130654884,10,10,0.868827802,9.8,633,"51.76 -1.25",6,10,0.832029839768349,0.217306841356624
"11",11,11,"FEBE","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",11.65,16.32,1.897366596,4.332320394,10,10,1.396395992,9.8,633,"51.76 -1.25",6,11,1.3372536326602,0.244706181951572
"12",12,12,"FEBE","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",8.82,11.88,3.06740933,3.383637096,10,10,0.947545542,9.8,633,"51.76 -1.25",6,12,0.90741360297009,0.220584986171379
"13",13,13,"FEBE","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",14.34,15.64,2.181971586,3.668242086,10,10,0.430744679,9.8,633,"51.76 -1.25",6,13,0.412501102452067,0.204253928988104
"14",14,14,"FEBE","Butterflies","Center","Mixed",NA,51.76,-1.25,"Transects",9.68,10.95,3.035786554,3.035786554,10,10,0.418342982,9.8,633,"51.76 -1.25",6,14,0.40062466207238,0.204012502996515
"15",15,15,"FEBE","Butterflies","Margin","Mixed",NA,51.76,-1.25,"Transects",15.18,15.73,1.865743819,3.573373756,10,10,0.192952764,9.8,633,"51.76 -1.25",6,15,0.184780525276212,0.200853596063034
"16",16,16,"FORR","Bees","Center","Mixed","Complex",38.88,-122.23,"Sweep Nets",28.46,40.55,9.125458781,12.39934597,4,5,1.110582529,14.7,669,"38.88 -122.23",7,16,0.96611849280989,0.501854719008292
"17",17,17,"GABR","Bumblebees","Margin","Cereal","Complex",52.36,-1.22,"Combination",1.5,1.9,0.783836718,0.747596148,96,69,0.522240386,9.3,639,"52.36 -1.22",8,17,0.517808476237855,0.0257219221627756
"18",18,18,"GABR","Butterflies","Margin","Cereal","Complex",52.36,-1.22,"Combination",1.1,1.4,0.881816307,0.996794864,96,69,0.318788357,9.3,639,"52.36 -1.22",8,18,0.320573299922682,0.0252208361705318
"19",19,19,"GABR","Hoverflies","Margin","Cereal","Complex",52.36,-1.22,"Combination",2,1.9,1.077775487,0.913728625,96,69,-0.100087615,9.3,639,"52.36 -1.22",8,19,-0.098302900892753,0.0249387035029579
"20",20,20,"GABR","Solitary Bees","Margin","Cereal","Complex",52.36,-1.22,"Combination",1.2,1.4,0.783836718,0.830662386,96,69,0.247650722,9.3,639,"52.36 -1.22",8,20,0.247701057994345,0.0250953469993445
"21",21,21,"GAYE","Bees","Center","Cereal","Gradient",48.53,9.4,"Transects",0.7,1.36,1.64924225,1.814166475,17,17,0.380696027,8.5,768,"48.53 9.4",9,21,0.37169133273862,0.119678741865191
"22",22,22,"GAYE","Bees","Edge","Cereal","Gradient",48.53,9.4,"Transects",0.39,1.19,0.6596969,1.608011194,17,17,0.650933781,8.5,768,"48.53 9.4",9,22,0.635537088114323,0.123586873387777
"23",23,23,"GAYE","Butterflies","Center","Cereal","Gradient",48.53,9.4,"Transects",1.84,3.78,1.855397532,3.422177669,17,17,0.704783864,8.5,768,"48.53 9.4",9,23,0.688113442125266,0.124610295724022
"24",24,24,"GAYE","Butterflies","Edge","Cereal","Gradient",48.53,9.4,"Transects",1.81,3.76,1.772935419,3.504639782,17,17,0.702143308,8.5,768,"48.53 9.4",9,24,0.685535344084302,0.124558216293953
"25",25,25,"GEPP","Bumblebees","Edge","Cereal","Simple",51.53,9.94,"Combination",0.64,2,0.87,1.23,9,9,1.276615492,8.3,695,"51.53 9.94",10,25,1.21566199777871,0.263273169245648
