Reference ID,Taxonomic Category,Edge/Center/Margin,Cropping System,Landscape Complexity,Latitude..N,Longitude..E,Sampling Method ,Con. Mean ,Org. Mean,Con. SD,Org. SD,Con. n,Org. n,Hedges g
ADHI,Bees,Center,Cereal,Simple,40.23,-110,Pan Traps,158,165,93,99,9,9,0.069410561
BAKK,Pollinators,Margin,Varied,Gradient,52.13,5.29,Transects,2.94,4.38,1.654629868,2.504396135,18,20,0.664219946
BOUT,Moths,Center,Mixed,Simple,44.2,-78.4,Light Traps,74.325,81.7875,32.08233827,34.51668075,8,8,0.211737233
BOUT,Moths,Margin,Mixed,Simple,44.2,-78.4,Light Traps,178.125,238.5625,96.00051711,112.5884533,8,8,0.546156182
BRIT,Bees,Center,Perennial,Simple,45.65,12.42,Combination,12.8,20.1,6.613622306,9.797958971,6,6,0.806149116
BRIT,Pollinators,Center,Perennial,Simple,45.65,12.42,Combination,3.6,4,2.204540769,2.939387691,6,6,0.142116989
EKRO,Bumblebees,Edge,Cereal,Simple,60.67,25.63,Transects,3,3.8,2.5,1.7,40,15,0.368903492
EKRO,Butterflies,Edge,Cereal,Simple,60.67,25.63,Transects,9.4,9,4.4,3.5,40,15,-0.099184457
FEBE07,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,5.63,12.55,5.091267033,9.360341874,10,10,0.879635907
FEBE07,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,16.2,21.33,13.34481173,12.45937398,10,10,0.380585502
FEBE07,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,4.32,9.29,4.395565948,9.803060747,10,10,0.626584337
FEBE07,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,13.45,21.36,12.64911064,12.61748786,10,10,0.599666688
FEBE07,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,3.56,7.57,5.407494799,9.644946864,10,10,0.491198557
FEBE07,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,13.22,16.78,12.68073342,13.15507507,10,10,0.263897525
FEBE97,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,9.81,16.07,8.428712832,12.44507935,8,8,0.556864548
FEBE97,Butterflies,Edge,Mixed,NA,51.76,-1.25,Transects,1.63,6.78,2.03646753,4.780041841,8,8,1.325296867
FEBE97,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,9.67,16.87,4.723473298,9.248956698,8,8,0.926977547
FEBE97,Butterflies,Edge,Mixed,NA,51.76,-1.25,Transects,2.52,7.98,1.951614716,4.29920923,8,8,1.546228869
GABR,Bumblebees,Margin,Cereal,Complex,52.36,-1.22,Combination,0.7,0.9,0.293938769,0.332264955,96,69,0.634638572
GABR,Butterflies,Margin,Cereal,Complex,52.36,-1.22,Combination,1.9,2.7,1.959591794,2.575053398,96,69,0.348022239
GABR,Hoverflies,Margin,Cereal,Complex,52.36,-1.22,Combination,1.6,1.2,0.685857128,0.498397432,96,69,-0.664148158
GABR,Solitary Bees,Margin,Cereal,Complex,52.36,-1.22,Combination,0.8,0.8,0.391918359,0.332264955,96,69,0
GEPP,Bumblebees,Edge,Cereal,Simple,51.53,9.94,Combination,2.49,5.1,6.33,4.11,9,9,0.465776318
GEPP,Hoverflies,Edge,Cereal,Simple,51.53,9.94,Combination,5.6,8.96,5.61,5.61,9,9,0.570409982
GEPP,Solitary Bees,Edge,Cereal,Simple,51.53,9.94,Combination,1,6.35,2.22,9,9,9,0.777340183
