Reference ID,Taxonomic Category,Edge/Center/Margin,Cropping System ,Landscape Complexity,Latitude..N,Longitude..E,Sampling Method ,Con. Mean ,Org. Mean,Con. SD,Org. SD,Con. n,Org. n,Hedges g
ADHI,Bees,Center,Cereal,Simple,40.23,-110,Pan Traps,25,27,6,9,9,9,0.249036362
BOUT,Moths,Center,Mixed,Simple,44.2,-78.4,Other,10.875,12.3375,1.255559067,3.258806749,8,8,0.560512828
BOUT,Moths,Margin,Mixed,Simple,44.2,-78.4,Other,17.0125,19.4875,1.923120604,4.256234922,8,8,0.749416512
BRIT,Bees,Center,Perennial,Simple,45.65,12.42,Combination,5.3,5.9,1.71464282,1.469693846,6,6,0.375734575
BRIT,Pollinating Insects,Center,Perennial,Simple,45.65,12.42,Combination,0.9,1.3,0.489897949,0.734846923,6,6,0.640512615
CLOU,Bees,Center,Cereal,Gradient,51.58,8.17,Transects,0.67,4.23,2.70371966,4.399272667,21,21,0.975000388
CLOU,Bees,Edge,Cereal,Gradient,51.58,8.17,Transects,2.08,5.27,3.391106014,6.094825674,21,21,0.6468147
EKRO,Bumblebees,Edge,Cereal,Simple,60.67,25.63,Transects,1.14,1.4,0.5,0.4,40,15,0.574243936
EKRO,Butterflies,Edge,Cereal,Simple,60.67,25.63,Transects,0.99,0.98,0.26,0.2,40,15,-0.043113061
FEBE,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,7.6,10.32,3.130654884,3.130654884,10,10,0.868827802
FEBE,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,11.65,16.32,1.897366596,4.332320394,10,10,1.396395992
FEBE,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,8.82,11.88,3.06740933,3.383637096,10,10,0.947545542
FEBE,Butterflies,Margin,Mixed,NA,51.76,-1.25,Transects,14.34,15.64,2.181971586,3.668242086,10,10,0.430744679
FEBE,Butterflies,Center,Mixed,NA,51.76,-1.25,Transects,9.68,10.95,3.035786554,3.035786554,10,10,0.418342982
