Reference ID,Article Title,Source Title ,Year Published ,Authors ,Abstract ,DOI,Study Duration ,Study Location *,Sampling Method,Diversity Index ,Abundance?,Crop Type ,Cropping System ,Landscape Characteristics,Sampling Location,Scale,Control for Landscape Differences? ,Taxonommic group(s),Statistic 
ADHI,"Dryland Organic Farming Partially Offsets Negative Effects of Highly Simplified Agricultural Landscapes on Forbs, Bees, and Bee-Flower Networks",ENVIRONMENTAL ENTOMOLOGY,2019,"Adhikari, S; Burkle, LA; O'Neill, K; Weaver, DK; Delphia, CM; Menalled, F","Industrialized farming practices result in simplified agricultural landscapes, reduced biodiversity, and degraded species-interaction networks. Thus far, most research assessing the combined effects of farming systems and landscape complexity on beneficial insects has been conducted in relatively diversified and mesic systems and may not represent the large-scale, monoculture-based dryland agriculture that dominates many regions worldwide. Specifically, the effects of farming systems on forbs, bees, and their interactions are poorly understood in highly simplified dryland landscapes such as those in the Northern Great Plains, United States, an area globally important for conventional and organic small grain, pulse, forage, and oilseed production. During a 3-yr (2013-2015) study, we assessed 1) the effects of dryland no-till conventional and tilled organic farming on forbs, bees, and bee- flower networks and 2) the relationship between natural habitat and bee abundance. Flower density and richness were greater in tilled organic fields than in no-till conventional fields, and forb community composition differed between farming systems. We observed high bee diversity (109 taxa) in this highly simplified landscape, and bee abundance, richness, and community composition were similar between systems. Compared with tilled organic fields, bee-flower interactions in no-till conventional fields were poorly connected, suggesting these systems maintain relatively impoverished plant-pollinator networks. Natural habitat (11% of the landscape) did not affect small-bodied bee abundance in either farming system but positively affected large-bodied bees within 2,000 m of crop-field centers. In highly simplified agricultural landscapes, dryland organic farming and no-till conventional farming together support relatively high bee diversity, presumably because dryland organic farming enhances floral resources and bee-flower networks, and no-till management in conventional farming provides undisturbed ground-nesting habitats for wild bees (Hymenoptera: Apoidea).",10.1093/ee/nvz056,3 years,"MT, USA (42.03°N, 110°W)",Pan traps,Species richness,1,Winter wheat,Cereal,Dryland,Center,field,1,Bees,F
BAKK,"Sweep netting samples, but not sticky trap samples, indicate beneficial arthropod abundance is negatively associated with landscape wide insecticide use",JOURNAL OF APPLIED ECOLOGY,2022,"Bakker, L; Werf, W; Bianchi, FJJA","Insecticide use and landscape context are major drivers for the abundance of beneficial arthropods, such as predators, parasitoids and pollinators. However, the relative importance of local and landscape-wide insecticide use is not well understood, and it is unclear to what extent impacts of insecticides on beneficial arthropod populations are moderated by landscape composition. We collected and analysed data on beneficial arthropod abundance and local and landscape-wide insecticide use across 38 Dutch landscapes. We used regression to study the associations between beneficial arthropod abundance (response), insecticide use and landscape factors. Insects were sampled by sweep netting and yellow sticky traps in field margins ('sampling sites') in the summer of 2017 and 2018. We paired organic and conventional sites in the same landscape setting. We used three indicators of insecticide use: management (organic vs. conventional), Treatment Frequency Index of insecticides applied in the field adjacent to the sampling site, and the estimated landscape-wide average quantity of insecticides applied per ha within a 1 km radius around the sampling site. Abundances of beneficial arthropods in field margins, assessed by sweep netting, were negatively associated with the estimated quantity insecticide applied in the surrounding landscape, while arthropod sampling by sticky traps did not show this relationship. Pollinator abundance was negatively associated with conventional management and with the frequency of insecticide applications in the adjacent field, while predator and parasitoid abundance did not show significant associations with local insecticide use indicators. Negative impacts of insecticide use were not moderated in more diverse landscapes with higher proportions of semi-natural habitats. Policy implications. Insecticide impacts on arthropod populations extend beyond the fields in which they are used. Awareness of the potential landscape-wide effects of pesticides, either through drift of pesticides or insect movement, may encourage land managers to adopt practices to reduce insecticide drift and the frequency of insecticide applications, thereby reducing the impacts of landscape-wide exposure on arthropods that provide services to agriculture. Risk assessments of insecticides and pesticide use regulations need to account for potential spill-over effects and consider landscape-scale consequences associated with the source-sink dynamics of arthropods.",10.1111/1365-2664.14106,2 years,"Netherlands (52.13°N, 5.29°E)",Transects,n/a,1,Varied,Varied,Gradient,Margin,farm,1,Pollinators,n/a
BOUT,The Value of Woody Hedgerows for Moth Diversity on Organic and Conventional Farms,ENVIRONMENTAL ENTOMOLOGY,2011,"Boutin, C; Baril, A; Mccabe, SK; Martin, PA; Guy, M","Habitat destruction and degradation are important drivers of biodiversity loss within agro-ecosystems. However, little is known about the effect of farming practices and the value of woody hedgerows on Lepidoptera in North America. The purpose of this work was to study moth diversity in woody hedgerows and croplands of organic and conventional farms. In addition, the influence of vegetation composition and abiotic variables on species richness, abundance, and composition was examined. Moths were sampled with light traps during six weeks in the summer of 2001. Vegetation data and abiotic variables were obtained for all sites. In total, 26,020 individuals from 12 families and 408 species were captured. Most species were uncommon. Only 35 species included >100 individuals while for 71% of species <10 individuals were found. The Noctuidae represented 221 species and 85% of all individuals captured. Woody hedgerows harbored more species and in greater number than croplands. There was no significant difference in moth diversity between organic and conventional farms, except that the Notodontidae were significantly more species rich in organic than in conventional sites. Results show that species richness, abundance, and composition were greatly influenced by habitat types (hedgerow versus crop field) and abiotic variables (minimum temperature which was correlated to moon illumination, rainfall, and cloud cover). Moth species composition was significantly correlated to vegetation composition. This study broadens our understanding of the factors driving moth diversity and expands our knowledge of their geographic range. The maintenance of noncrop habitats such as woody hedgerows within agro-ecosystems seems paramount to preserving the biodiversity and abundance of many organisms, including moths.",10.1603/EN10105,6 weeks ,"Ontario, Canada (44.2°N, 78.4°W)",Light Traps ,Species richness,1,"Mixed fruit, vegetable, legume, and winter wheat",Mixed,Mixed crop farming with pasture and woodlots ,Center and margin,farm,1,Moths,"t, r"
BRIT,Organic farming in isolated landscapes does not benefit flower-visiting insects and pollination,BIOLOGICAL CONSERVATION,2010,"Brittain, C; Bommarco, R; Vighi, M; Settele, J; Potts, SG","Organic farming has often been found to provide benefits for biodiversity, but the benefits can depend on the species considered and characteristics of the surrounding landscape. In an intensively farmed area of Northeast Italy we investigated whether isolated organic farms, in a conventionally farmed landscape, provided local benefits for insect pollinators and pollination services. We quantified the relative effects of local management (i.e. the farm system), landscape management (proportion of surrounding uncultivated land) and interactions between them. We compared six organic and six conventional vine fields. The proportion of surrounding uncultivated land was calculated for each site at radii of 200, 500, 1000 and 2000 m. The organic fields did not differ from the conventional in their floral resources or proportion of surrounding uncultivated land. Data were collected on pollinator abundance and species richness, visitation rates to, and pollination of experimental potted plants. None of these factors were significantly affected by the farming system. The abundance of visits to the potted plants in the conventional fields tended to be negatively affected by the proportion of surrounding uncultivated land. The proportion fruit set, weight of seeds per plant and seed weight in conventional and organic fields were all negatively affected by the proportion of surrounding uncultivated land. In vine fields the impact of the surrounding landscape was stronger than the local management. Enhancement of biodiversity through organic farming should not be assumed to be ubiquitous, as potential benefits may be offset by the crop type, organic-management practices and the specific habitat requirements in the surrounding landscape. (C) 2010 Elsevier Ltd. All rights reserved.",10.1016/j.biocon.2010.04.029,1 year,"NE Italy (45.65°N, 12.42°E)","Pan traps, transects, focal point observation ",Species richness,1,Vineyard,Perennial ,Highly cultivated,Center,field ,1,"Bees, Pollinators",t
CLOU,Alpha and beta diversity of arthropods and plants in organically and conventionally managed wheat fields,JOURNAL OF APPLIED ECOLOGY,2007,"Clough, Y; Holzschuh, A; Gabriel, D; Purtauf, T; Kleijn, D; Kruess, A; Steffan-Dewenter, I; Tscharntke, T","1. Most studies in applied ecology use measures of alpha-diversity measures, i.e. the mean diversity on a site, to compare biodiversity effects of different management schemes. The total or alpha-diversity within a region, however, need not be correlated with the mean alpha-diversity within any site of the region. Thus, analyses of alpha-diversity alone may misrepresent the contributions of other diversity components (beta) to total diversity (gamma). 2. We apply a biodiversity-partitioning approach to species richness from a comparison between paired organic and conventional wheat fields in 21 sites from three regions in Germany, where we recorded plants, bees, carabids, staphylinids and spiders in the centre and edge of the fields. 3. Relative values of alpha- and beta-diversity depended on taxon. Both between-site and between-region beta-diversity were very high (in total 60-85%). alpha-Diversity and between-site beta-diversity was larger on the edge than in the centre of fields for all taxa. 4. alpha-Diversity, between-site beta-diversity of plants and bees and between-region beta-diversity of bees were higher in organic than in conventional fields, providing local as well as larger-scale species richness benefits. alpha-Diversity did not differ between management types for the epigaeic arthropods. Lower between-site beta-diversity was found for spiders in organic fields than in conventional fields, resulting in higher total species richness in conventionally managed wheat. 5. Similarity in composition of landscapes surrounding the study fields was correlated with similarity in species composition for epigaeic arthropods in conventional fields. For this group of organisms the variability of landscapes in the sample contributed to increasing beta-diversity. 6. Synthesis and applications. Diversity accounts for the major part of species richness in agro-ecosystems. Implementing an agri-environment scheme such as organic agriculture may result in either an additional increase of total diversity, as could be shown for plants and bees, or in a decrease in total diversity as was the case for the spiders. Therefore, beta-diversity needs to be included in the evaluation of different management schemes for conservation. For plant and bees it is recommended to implement agri-environment schemes in contrasting landscapes and in different regions to maximize total species richness benefits.",10.1111/j.1365-2664.2007.01294.x,3 months,"Germany (51.58°N, 08.17°E)",Transects ,"Alpha/Beta diversity, species richness",0,Winter wheat,Cereal,"Intensive, arable-dominated with some diversified areas ",Edge and center ,field,1,Bees,F
EKRO,Role of organic and conventional field boundaries on boreal bumblebees and butterflies,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2008,"Ekroos, J; Piha, M; Tiainen, J","This study examined how field boundary habitat quality and farming system (organic or conventional) affect species richness and abundance of diurnal lepidopterans and bumblebees in boreal agricultural landscapes. The results showed positive effects of field boundary area on lepidopteran diversity, as well as positive effects of nectar flower abundance on lepidopterans and bumblebee abundance. Organic farming did not show any significant effects on lepidopteran diversity. The results suggested that a successful conservation strategy for lepidopterans occurring in boreal agroecosystems depend on proper management of field boundaries, irrespective of farming regime. As bumblebee diversity tended to be higher at organic plots it is concluded that these important pollinators might be able to react on even small changes in habitat quality of cultivated lands. The results concord with a general hypothesis that effects of organic farming might be overpowered by effects of landscape structure in heterogeneous landscapes. (c) 2007 Elsevier B.V. All rights reserved.",10.1016/j.agee.2007.09.003,3 years ,"Finland (60.67°N, 25.63°E)",Transects,Species richness,1,Primarily cereal ,Cereal,Agriculture dominated surrounded by forests and small fields,Edge,field ,1,"Bumblebees, butterflies",F
FEBE07,A comparison of butterfly populations on organically and conventionally managed farmland,JOURNAL OF ZOOLOGY,2007,"Feber, RE; Johnson, PJ; Firbank, LG; Hopkins, A; Macdonald, DW","Habitat loss and reduction in quality, together with increasing homogeneity of the farmed landscape and more intensive field management, are believed to be major drivers of biodiversity loss on farmland. Organic farms demonstrate features that are now rare elsewhere in UK farming systems, such as crop rotations incorporating grass leys, exclusion of synthetic pesticides and fertilizers, and reliance on animal and green manures. They may also contain greater densities of uncropped habitats such as hedgerows. In this study, we examined whether organic farming affected populations of one group of insects of conservation interest, butterflies, on farmland. The abundance of butterflies on pairs of organically and conventionally managed farms was recorded over 3 years and a number of habitat and crop variables, likely to be related to butterfly abundance, were also measured. Organic farms attracted significantly more butterflies overall than conventional farms. Significantly more butterflies in both farming systems were recorded over the uncropped field margin than the crop edge. The difference in butterfly abundance between crop edge and field margin was relatively greater in conventional than organic systems. Species richness of butterflies tended to be greater on organic farms. Five species of butterfly were significantly more abundant on organic farms in at least 1 year, while no species was significantly more abundant on conventional farms. Organic and conventional cropping patterns differed, the former having proportionally more grass leys, and hedgerows were larger on organic farms. Although no significant effects of farming system on the numbers of grass or forb species present in the field margin or crop edge were detected, some individual plant species showed differences in frequency between organic and conventional field boundaries. Increasing the extent of organic farming, or practices associated with it, could help to restore biodiversity in agricultural landscapes.",10.1111/j.1469-7998.2007.00296.x,3 years,"England (51.76°N, 01.25°W)",Transects,Species richness,1,Arable or mixed,Mixed,n/a,Center and margin,farm ,1,Butterflies ,F
FEBE97,The effects of organic farming on pest and non-pest butterfly abundance,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1997,"Feber, RE; Firbank, LG; Johnson, PJ; Macdonald, DW","Butterfly transects were conducted on eight pairs of organic and conventional farms in the UK in 1994, and ten pairs of farms in 1995. Each transect included areas of conventional and organic farmland. All species seen, and the abundance of each species, were recorded separately for the uncropped field boundary and the crop edge. In both years, significantly more non-pest butterflies were recorded on organic than on conventional farmland, and more non-pest butterflies were recorded over the uncropped boundary habitat than over the crop edge habitat in both systems. By contrast, there was no significant difference in either year in the abundance of two pest species, Pieris brassicae (the large white) and Pieris rapae (the small white) between the two systems. Implications of the results far the conservation of butterflies within agricultural systems are discussed. (C) 1997 Elsevier Science B.V.",10.1016/S0167-8809(97)00031-5,2 years,"England (1.63-9.81°N, 6.78-16.87°N)",Transects,n/a,1,Mixed,Mixed,n/a,Edge and margin,farm,1,Butterflies,F
FORR,Contrasting patterns in species and functional-trait diversity of bees in an agricultural landscape,JOURNAL OF APPLIED ECOLOGY,2015,"Forrest, JRK; Thorp, RW; Kremen, C; Williams, NM","Land-use change frequently reduces local species diversity. Species losses will often result in loss of trait diversity, with likely consequences for community functioning. However, the converse need not be generally true: management approaches that succeed in retaining species richness could nevertheless fail to maintain trait diversity. We evaluated this possibility using bee communities in a California agroecosystem. We examined among site patterns in bee species diversity and functional-trait diversity in a landscape composed of a mosaic of semi-natural habitat, organic farms and conventional farms. We sampled bees from all three habitat types and compiled a data base of life-history (functional') traits for each species. Although species richness was higher on organic farms than conventional farms, functional diversity was lower in both farm types than in natural habitat. Nesting location (below-ground vs. above-ground) was the primary trait contributing to differences in functional diversity between farms and natural habitat, reflecting observed differences in availability of nesting substrates among habitat types. Other traits, including phenology and sociality, were also associated with species' occurrences or dominance in particular site types. These patterns suggest that management practices common to all farms act as environmental filters that cause similarly low functional diversity in their bee communities.Synthesis and applications. Although our results support the value of organic farming in maintaining abundant and species-rich bee communities, components of bee functional diversity are not well supported in farmed landscapes, regardless of farming practice. Maintenance of natural habitat, and/or the addition of natural habitat elements to farms, is therefore important for the retention of functionally diverse bee assemblages in agroecosystems. Although our results support the value of organic farming in maintaining abundant and species-rich bee communities, components of bee functional diversity are not well supported in farmed landscapes, regardless of farming practice. Maintenance of natural habitat, and/or the addition of natural habitat elements to farms, is therefore important for the retention of functionally diverse bee assemblages in agroecosystems.",10.1111/1365-2664.12433,6 months,"CA, USA (38.88°N, 122.23°W)",Sweep nets ,Species richness,0,C- monoculture sunflower or orchard; O- polyculture vegetables and orchard ,Mixed,"Riparian scrub, gallery forest, oak savanna",Center ,farm ,1,Bees,F
GABR,Food production vs. biodiversity: comparing organic and conventional agriculture,JOURNAL OF APPLIED ECOLOGY,2013,"Gabriel, D; Sait, SM; Kunin, WE; Benton, TG","A substantial proportion of the global land surface is used for agricultural production. Agricultural land serves multiple societal purposes; it provides food, fuel and fibre and also acts as habitat for organisms and supports the services they provide. Biodiversity conservation and food production need to be balanced: production needs to be sustainable, while conservation cannot be totally at the expense of crop yield. To identify the benefits (in terms of biodiversity conservation) and costs (in terms of reduction in yields) of agricultural management, we examined the relationship between crop yield and abundance and species density of important taxa in winter cereal fields on both organic and conventional farms in lowland England. Of eight species groups examined, five (farmland plants, bumblebees, butterflies, solitary bees and epigeal arthropods) were negatively associated with crop yield, but the shape of this relationship varied between taxa. It was linear for the abundance of bumblebees and species density of butterflies, concave up for the abundance of epigeal arthropods and butterflies and concave down for species density of plants and bumblebees. Grain production per unit area was 54% lower in organic compared with conventional fields. When controlling for yield, diversity of bumblebees, butterflies, hoverflies and epigeal arthropods did not differ between farming systems, indicating that observed differences in biodiversity between organic and conventional fields are explained by lower yields in organic fields and not by different management practices per se. Only percentage cover and species density of plants were increased by organic field management after controlling for yield. The abundance of solitary wild bees and hoverflies was increased in landscapes with high amount of organic land. Synthesis and applications. Our results indicate that considerable gains in biodiversity require roughly proportionate reductions in yield in highly productive agricultural systems. They suggest that conservation efforts may be more cost effective in low-productivity agricultural systems or on non-agricultural land. In less productive agricultural landscapes, biodiversity benefit can be gained by concentrating organic farms into hotspots without a commensurate reduction in yield.",10.1111/1365-2664.12035,2 years ,"England (52.36°N, 1.22°W)","Transects, triplicate traps",Species richness,1,Winter cereal ,Cereal,Dominated by approximately arable land and improved grassland ,Margin ,field,1,"Bumblebees, solitary bees, butterflies, hoverlies ",(GAMM)
